media_id,media_name,media_url
22499,crikey.com.au,http://www.crikey.com.au
22529,philly.com,http://www.philly.com
22540,mysanantonio.com,http://www.mysanantonio.com
22605,miller-mccune.com,http://www.miller-mccune.com
22629,forum.spiegel.de,http://forum.spiegel.de
22713,commondreams.org,https://www.commondreams.org
22728,electronicintifada.net,http://electronicintifada.net
22747,allvoices.com,http://www.allvoices.com
22823,legallyeasy.rocketlawyer.com,http://legallyeasy.rocketlawyer.com
22897,fortunebrainstormtech.files.wordpress.com,http://fortunebrainstormtech.files.wordpress.com
22912,glennbeck.com,http://www.glennbeck.com
22916,ajc.com,http://www.ajc.com
23042,thenews.pl,http://www.thenews.pl
23054,IBTimes.com,http://www.IBTimes.com
23067,marlborough.patch.com,http://marlborough.patch.com
23087,guestofaguest.com,http://guestofaguest.com
23107,news.err.ee,http://news.err.ee
23132,independent.co.uk,http://www.independent.co.uk
23136,jewishjournal.com,http://www.jewishjournal.com
23142,spectator.co.uk,http://www.spectator.co.uk
23156,huffingtonpost.co.uk,http://www.huffingtonpost.co.uk
23163,globalnews.ca,http://www.globalnews.ca
23209,jpost.com,http://www.jpost.com
23232,marketingpilgrim.com,http://www.marketingpilgrim.com
23248,ibnlive.in.com,http://ibnlive.in.com
23290,ncregister.com,http://www.ncregister.com
23299,ejpress.org,http://www.ejpress.org
23318,thestir.cafemom.com,http://thestir.cafemom.com
23356,metro.us,http://www.metro.us
23370,wallstcheatsheet.com,http://wallstcheatsheet.com
23411,theepochtimes.com,http://www.theepochtimes.com
23412,blogs.denverpost.com,http://blogs.denverpost.com
23418,ajr.org,http://ajr.org
23440,blog.chron.com,http://blog.chron.com
23459,mmajunkie.com,http://mmajunkie.com
23564,hiphopblog.com,http://www.hiphopblog.com
23763,publicbroadcasting.net,http://www.publicbroadcasting.net
24030,naturalnews.com,http://www.naturalnews.com
24032,insidecounsel.com,http://www.insidecounsel.com
24037,communities.washingtontimes.com,http://communities.washingtontimes.com
24044,bestofneworleans.com,http://www.bestofneworleans.com
24101,m.euractiv.com,http://m.euractiv.com
24501,dailymotion.com,http://www.dailymotion.com
24505,tampabay.com,http://www.tampabay.com
24531,esquire.com,http://www.esquire.com
24661,newsone.com,http://newsone.com
24707,therightscoop.com,http://www.therightscoop.com
24719,pressherald.com,http://www.pressherald.com
24725,al.com,http://www.al.com
24747,radaronline.com,http://www.radaronline.com
24757,usmagazine.com,http://www.usmagazine.com
24775,charlotteobserver.com,http://www.charlotteobserver.com
24798,knoxnews.com,http://www.knoxnews.com
24822,11alive.com,http://www.11alive.com
24877,dawn.com,http://dawn.com
24911,tabletmag.com,http://www.tabletmag.com
24940,seattletimes.com,http://seattletimes.com
24977,atlanta.cbslocal.com,http://atlanta.cbslocal.com
25056,nbcnewyork.com,http://www.nbcnewyork.com
25148,talkingpointsmemo.com,http://talkingpointsmemo.com
25154,heraldsun.com.au,http://www.heraldsun.com.au
25170,stltoday.com,http://www.stltoday.com
25173,wjla.com,http://www.wjla.com
25195,ktla.com,http://www.ktla.com
25209,rasmussenreports.com,http://www.rasmussenreports.com
25250,wral.com,http://www.wral.com
25301,q13fox.com,http://www.q13fox.com
25323,salem-news.com,http://www.salem-news.com
25349,newsmax.com,http://www.newsmax.com
25356,moneynews.com,http://www.moneynews.com
25382,statesman.com,http://www.statesman.com
25407,timesfreepress.com,http://www.timesfreepress.com
25438,stlouis.cbslocal.com,http://stlouis.cbslocal.com
25488,nationalinterest.org,http://nationalinterest.org
25499,nbcnews.com,http://www.nbcnews.com
25527,frontpagemag.com,http://frontpagemag.com
25649,freebeacon.com,http://freebeacon.com
25750,foxnewsinsider.com,http://foxnewsinsider.com
25798,detroitnews.com,http://www.detroitnews.com
25937,denver.cbslocal.com,http://denver.cbslocal.com
26063,torontosun.com,http://www.torontosun.com
26076,nbcwashington.com,http://www.nbcwashington.com
26164,m.vice.com,http://m.vice.com
26202,nbcphiladelphia.com,http://www.nbcphiladelphia.com
26363,opednews.com,http://www.opednews.com
26365,billmoyers.com,http://billmoyers.com
26446,chicagoist.com,http://chicagoist.com
26524,liveleak.com,http://www.liveleak.com
26590,cincinnati.com,http://cincinnati.com
26614,cbn.com,http://www.cbn.com
26711,channel4.com,http://www.channel4.com
26782,theaustralian.com.au,http://www.theaustralian.com.au
26799,express.co.uk,http://www.express.co.uk
26810,nbclosangeles.com,http://www.nbclosangeles.com
26811,jacobinmag.com,http://jacobinmag.com
26924,inquisitr.com,http://www.inquisitr.com
26978,eldiariony.com,http://www.eldiariony.com
27029,timeslive.co.za,http://www.timeslive.co.za
27054,iol.co.za,http://www.iol.co.za
27368,Media Lens,http://medialens.org/index.php
27433,"The Bay Citizen | News, Culture, Community",http://www.baycitizen.org/
